acct_id,name_first,name_last,email,acct_type
5517,Ronald,McDonald,Ronald.McDonald@geemail.com,Corporate
4633,Michael,Meyers,Michael.Meyers@geemail.com,Personal
5445,Bob,Ross,Bob.Ross@geemail.com,Personal
3614,Brad,Marchand,Brad.Marchand@geemail.com,Player
2335,Patrice,Bergeron,Patrice.Bergeron@geemail.com,Player
2232,Mr,Clean,Mr.Clean@geemail.com,Corporate
4176,Frank,Sinatra,F.Sinatra@yahu.com,Individual
1298,Dean,Martin,D.Martin@yahu.com,Individual
4388,Mike,Tyson,M.Tyson@yahu.com,Player
2837,Evander,Holyfield,E.Holyfield@yahu.com,Player
2816,George,Washington,G.Washington@yahu.com,Corporate
5090,Franklin,Roosevelt,F.Roosevelt@yahu.com,Corporate
1147,Barack,Obama,B.Obama@yahu.com,Corporate
5226,George,Harrison,G.Harrison@yahu.com,Player
3258,John,Lennon,J.Lennon@yahu.com,Player
5667,Paul,McCartney,P.McCartney@yahu.com,Player
1635,Ringo,Starr,R.Starr@yahu.com,Player
2073,Tom,Brady,BradyTom@ayohel.com,Player
2041,Rene,Rancourt,RancourtRene@ayohel.com,Individual
1448,Albert,Einstein,EinsteinAlbert@ayohel.com,Personal
4159,David,Pastranak,PastranakDavid@ayohel.com,Player
2100,David,Krejci,KrejciDavid@ayohel.com,Player
3449,Jason,Voorhees,VoorheesJason@ayohel.com,Personal
4201,Freddy,Kreuger,KreugerFreddy@ayohel.com,Individual
1402,Thomas,Shelby,ShelbyThomas@ayohel.com,Corporate
